"","UserID","ProblemID","overalGradeDiff","CountofSubmissions","avgTSbetweenSubs","countOfVideoandForumEvents"
"128","01f4291a2630294df40a552c46cda1bd95d36cb0",4,50,2,9,0
"129","01f4291a2630294df40a552c46cda1bd95d36cb0",5,11.1111111111111,2,53,0
"130","01f4291a2630294df40a552c46cda1bd95d36cb0",7,17.1428571428571,2,6,0
"131","020100a29b688189f0f5689c1200620ba8f850bf",0,0,1,NA,0
"132","020100a29b688189f0f5689c1200620ba8f850bf",3,0,1,NA,0
"133","020100a29b688189f0f5689c1200620ba8f850bf",4,0,1,NA,0
"134","020cb01f16ef0e63311cb44dba75c4c2415005c3",1,0,1,NA,0
"135","020cb01f16ef0e63311cb44dba75c4c2415005c3",2,0,1,NA,0
"136","020cb01f16ef0e63311cb44dba75c4c2415005c3",4,0,3,2,0
"137","0218c6f8781b3502b07d6369a1ebd8c36359e004",0,5.55550257364908,2,5,0
"138","02258b1c267639c21701524e67525077dfe0b3d7",0,0,1,NA,0
"139","022cdac4efa05507882b9c612dca354195ed32b3",0,0,1,NA,0
"140","02328a60c65198bf47fe5c82bcd23474c0e2b167",2,0,1,NA,0
"141","0236f9efc999c72aa08c28a57cdd3e1e9ad3f212",2,0,4,49,0
"142","0236f9efc999c72aa08c28a57cdd3e1e9ad3f212",16,0,1,NA,0
"143","025744c388acb124cda6ce5691a92993e5b6e74b",12,0,1,NA,0
"144","026ff341a345194db537f92c9901b8d46deffa1f",0,44.4445013999939,4,2,0
"145","02d1e0a0115fe4b0167adec1160dc5303e4c6159",0,61.1111680666606,2,4,0
"146","02d9aeeabbad3a858370c523e31f26bbdf6717e0",0,0,1,NA,0
"147","02d9aeeabbad3a858370c523e31f26bbdf6717e0",1,55,4,6,0
"148","02d9aeeabbad3a858370c523e31f26bbdf6717e0",2,25,2,10,0
"149","02d9aeeabbad3a858370c523e31f26bbdf6717e0",3,0,1,NA,0
"150","02d9aeeabbad3a858370c523e31f26bbdf6717e0",4,0,7,3832,59
"151","02d9aeeabbad3a858370c523e31f26bbdf6717e0",5,100,7,28,21
"152","02d9aeeabbad3a858370c523e31f26bbdf6717e0",6,18.75,2,156,0
"153","02d9aeeabbad3a858370c523e31f26bbdf6717e0",7,100,4,7,0
"154","02d9aeeabbad3a858370c523e31f26bbdf6717e0",8,12.5,3,3,0
"155","02d9aeeabbad3a858370c523e31f26bbdf6717e0",9,25,3,3,0
"156","02d9aeeabbad3a858370c523e31f26bbdf6717e0",10,0,1,NA,0
"157","02d9aeeabbad3a858370c523e31f26bbdf6717e0",11,0,1,NA,0
"158","02d9aeeabbad3a858370c523e31f26bbdf6717e0",12,0,1,NA,0
"159","02d9aeeabbad3a858370c523e31f26bbdf6717e0",13,0,1,NA,0
"160","02d9aeeabbad3a858370c523e31f26bbdf6717e0",14,28,4,15,0
"161","02d9aeeabbad3a858370c523e31f26bbdf6717e0",15,30,5,7,12
"162","02d9aeeabbad3a858370c523e31f26bbdf6717e0",16,0,1,NA,0
"163","02e27e0c43d2b6cec52b71a63397cf45beee5e36",0,0,1,NA,0
"164","02e9ccdfec0abc5517e10b6a4df972bc857da18a",0,0,1,NA,0
"165","02e9ccdfec0abc5517e10b6a4df972bc857da18a",1,0,1,NA,0
"166","02e9ccdfec0abc5517e10b6a4df972bc857da18a",2,0,1,NA,0
"167","02e9ccdfec0abc5517e10b6a4df972bc857da18a",3,0,1,NA,0
"168","02e9ccdfec0abc5517e10b6a4df972bc857da18a",4,25,2,3,0
"169","02e9ccdfec0abc5517e10b6a4df972bc857da18a",5,22.2222222222222,2,6,0
"170","02e9ccdfec0abc5517e10b6a4df972bc857da18a",6,0,1,NA,0
"171","02e9ccdfec0abc5517e10b6a4df972bc857da18a",7,17.1428571428571,2,2,0
"172","02e9ccdfec0abc5517e10b6a4df972bc857da18a",8,0,1,NA,0
"173","02e9ccdfec0abc5517e10b6a4df972bc857da18a",9,100,5,4,8
"174","02e9ccdfec0abc5517e10b6a4df972bc857da18a",16,0,1,NA,0
"175","02ed43779476a2937781e9b7365281af0a588dc9",0,22.2223321596781,3,10,0
"176","02ed43779476a2937781e9b7365281af0a588dc9",2,0,1,NA,0
"177","02ed43779476a2937781e9b7365281af0a588dc9",4,100,3,2,0
"178","02ed43779476a2937781e9b7365281af0a588dc9",5,100,2,3087,0
"179","02ed43779476a2937781e9b7365281af0a588dc9",7,100,8,1206,0
"180","02ed43779476a2937781e9b7365281af0a588dc9",8,0,1,NA,0
"181","02ed43779476a2937781e9b7365281af0a588dc9",9,100,4,87,0
"182","02ed43779476a2937781e9b7365281af0a588dc9",11,11.1111111111111,3,15,0
"183","02ed43779476a2937781e9b7365281af0a588dc9",14,0,3,3,0
"184","02ed43779476a2937781e9b7365281af0a588dc9",15,0,1,NA,0
"185","030089889d6a6ecf2e4b94a46b89be8a53149110",0,0,1,NA,0
"186","030089889d6a6ecf2e4b94a46b89be8a53149110",3,0,1,NA,0
"187","030089889d6a6ecf2e4b94a46b89be8a53149110",6,0,1,NA,0
"188","030089889d6a6ecf2e4b94a46b89be8a53149110",10,0,1,NA,0
"189","0305050b2ea1824254460a2835e0bc3a5c06a0f6",0,0,1,NA,0
"190","0305050b2ea1824254460a2835e0bc3a5c06a0f6",1,0,1,NA,0
"191","0305050b2ea1824254460a2835e0bc3a5c06a0f6",2,35,3,3,0
"192","0305050b2ea1824254460a2835e0bc3a5c06a0f6",4,50,8,78,127
"193","0316b836d99a51270cb04cdabb192ad6b0a4f380",1,0,1,NA,0
"194","0316b836d99a51270cb04cdabb192ad6b0a4f380",2,0,1,NA,0
"195","0316b836d99a51270cb04cdabb192ad6b0a4f380",4,0,1,NA,0
"196","0316b836d99a51270cb04cdabb192ad6b0a4f380",5,0,1,NA,0
"197","032790534ab918d2a4ee8f98de73139ad56a06c8",0,0,1,NA,0
"198","032790534ab918d2a4ee8f98de73139ad56a06c8",1,42.5,2,4,0
"199","032790534ab918d2a4ee8f98de73139ad56a06c8",2,100,6,4,0
"200","032790534ab918d2a4ee8f98de73139ad56a06c8",3,0,1,NA,0
"201","032790534ab918d2a4ee8f98de73139ad56a06c8",4,30,3,30,1
"202","032790534ab918d2a4ee8f98de73139ad56a06c8",5,11.1111111111111,4,3,0
"203","032790534ab918d2a4ee8f98de73139ad56a06c8",6,0,1,NA,0
"204","032790534ab918d2a4ee8f98de73139ad56a06c8",7,0,1,NA,0
"205","032790534ab918d2a4ee8f98de73139ad56a06c8",8,87.5,9,9,8
"206","032790534ab918d2a4ee8f98de73139ad56a06c8",9,0,1,NA,0
"207","032790534ab918d2a4ee8f98de73139ad56a06c8",10,8.33333333333334,2,4,0
"208","032790534ab918d2a4ee8f98de73139ad56a06c8",11,44.4444444444444,8,158,14
"209","032790534ab918d2a4ee8f98de73139ad56a06c8",12,0,1,NA,0
"210","032790534ab918d2a4ee8f98de73139ad56a06c8",14,100,12,3,0
"211","032790534ab918d2a4ee8f98de73139ad56a06c8",15,0,1,NA,0
"212","035e0218fe5133c7d1fb48eb6294ccec9bede9f3",0,11.1111640930176,2,4,0
"213","03652fed0372d942b592f5210a4f534f49a5b39a",1,0,1,NA,0
"214","03652fed0372d942b592f5210a4f534f49a5b39a",2,0,1,NA,0
"215","03652fed0372d942b592f5210a4f534f49a5b39a",4,0,1,NA,0
"216","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",0,0,1,NA,0
"217","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",1,2.5,2,5,0
"218","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",2,5,3,5,0
"219","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",3,16.6666666666667,5,185,0
"220","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",4,50,5,16,0
"221","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",5,11.1111111111111,2,3,0
"222","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",6,0,1,NA,0
"223","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",7,100,13,598,4
"224","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",8,37.5,9,38,0
"225","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",9,25,5,1027,5
"226","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",10,16.6666666666667,4,13,0
"227","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",11,44.4444444444444,4,56,0
"228","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",12,8.33333333333334,2,26,0
"229","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",13,10,2,22,0
"230","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",14,40,13,485,0
"231","03690917ea24f1e277ac4fbcbc46de3b89d0cec1",15,40,11,28,0
"232","036e8b0701253789b62cc6d4981b88fe5d947511",0,27.7778307596842,3,4,0
"233","036e8b0701253789b62cc6d4981b88fe5d947511",3,29.1666666666667,2,14,0
"234","036e8b0701253789b62cc6d4981b88fe5d947511",6,0,1,NA,0
"235","037b1feb1ef5897794daa9ad07705d12c341825f",0,0,1,NA,0
"236","037b1feb1ef5897794daa9ad07705d12c341825f",1,15,3,3,0
"237","037b1feb1ef5897794daa9ad07705d12c341825f",2,0,1,NA,0
"238","037b1feb1ef5897794daa9ad07705d12c341825f",3,0,1,NA,0
"239","037b1feb1ef5897794daa9ad07705d12c341825f",4,95,3,3,0
"240","037b1feb1ef5897794daa9ad07705d12c341825f",5,0,2,5,0
"241","037b1feb1ef5897794daa9ad07705d12c341825f",6,0,1,NA,0
"242","037b1feb1ef5897794daa9ad07705d12c341825f",7,100,6,3,0
"243","037b1feb1ef5897794daa9ad07705d12c341825f",8,37.5,2,5,0
"244","037b1feb1ef5897794daa9ad07705d12c341825f",9,30,3,2,0
"245","037b1feb1ef5897794daa9ad07705d12c341825f",10,16.6666706403097,3,677,6
"246","037b1feb1ef5897794daa9ad07705d12c341825f",11,40,6,5,0
"247","037b1feb1ef5897794daa9ad07705d12c341825f",12,0,1,NA,0
"248","037b1feb1ef5897794daa9ad07705d12c341825f",13,0,1,NA,0
"249","037b1feb1ef5897794daa9ad07705d12c341825f",14,56,3,5,0
"250","037b1feb1ef5897794daa9ad07705d12c341825f",15,0,3,3,0
"251","0386fdff8475483ccdcd8d046c6a7a83dc172489",0,33.3333333333333,3,4,0
"252","0386fdff8475483ccdcd8d046c6a7a83dc172489",1,0,1,NA,0
"253","0386fdff8475483ccdcd8d046c6a7a83dc172489",2,100,2,2,0
"254","0386fdff8475483ccdcd8d046c6a7a83dc172489",3,4.16666666666666,2,8,0
"255","0386fdff8475483ccdcd8d046c6a7a83dc172489",4,0,1,NA,0
"256","0386fdff8475483ccdcd8d046c6a7a83dc172489",5,0,1,NA,0
"257","03974e223bdeea5fe61c6cda7a94d372804e7e74",1,0,1,NA,0
"258","03974e223bdeea5fe61c6cda7a94d372804e7e74",2,0,1,NA,0
"259","03fdc2440bfd73743f35fab4cee84ef3b8241293",0,0,1,NA,0
"260","03fdc2440bfd73743f35fab4cee84ef3b8241293",3,0,1,NA,0
"261","03fdc2440bfd73743f35fab4cee84ef3b8241293",6,0,1,NA,0
"262","040e07ad436e0e9f9a1ad4cd67cc47720892105e",1,0,1,NA,0
"263","040e07ad436e0e9f9a1ad4cd67cc47720892105e",2,100,2,2,0
"264","040e07ad436e0e9f9a1ad4cd67cc47720892105e",4,0,1,NA,0
"265","040e07ad436e0e9f9a1ad4cd67cc47720892105e",5,11.1111111111111,2,3,0
"266","040e07ad436e0e9f9a1ad4cd67cc47720892105e",7,100,3,4,0
"267","040e07ad436e0e9f9a1ad4cd67cc47720892105e",8,0,1,NA,0
"268","040e07ad436e0e9f9a1ad4cd67cc47720892105e",9,100,3,6,4
"269","040e07ad436e0e9f9a1ad4cd67cc47720892105e",11,22.2222222222222,3,2,0
"270","040e07ad436e0e9f9a1ad4cd67cc47720892105e",14,26.6666666666667,10,141,27
"271","040e07ad436e0e9f9a1ad4cd67cc47720892105e",15,40,3,578,7
"272","040e07ad436e0e9f9a1ad4cd67cc47720892105e",16,0,1,NA,0
"273","041c8bb8cdeb269eb1f23407de622afd45317f80",0,0,1,NA,0
"274","041c8bb8cdeb269eb1f23407de622afd45317f80",1,0,1,NA,0
"275","041c8bb8cdeb269eb1f23407de622afd45317f80",2,0,1,NA,0
"276","04279ab4cf83114117d3a8bbb3b9e1acc24c308b",0,0,1,NA,0
"277","042bcf51068aa2e6950b979301923a7cda608621",0,0,1,NA,0
"278","042bcf51068aa2e6950b979301923a7cda608621",1,0,1,NA,0
"279","042bcf51068aa2e6950b979301923a7cda608621",2,100,4,3,0
"280","042bcf51068aa2e6950b979301923a7cda608621",3,0,1,NA,0
"281","042bcf51068aa2e6950b979301923a7cda608621",4,100,4,3,3
"282","042bcf51068aa2e6950b979301923a7cda608621",5,33.3333333333333,3,4,0
"283","042bcf51068aa2e6950b979301923a7cda608621",6,0,1,NA,0
"284","042bcf51068aa2e6950b979301923a7cda608621",7,100,4,2,0
"285","042bcf51068aa2e6950b979301923a7cda608621",8,0,1,NA,0
"286","042bcf51068aa2e6950b979301923a7cda608621",9,12.5,2,1049,21
"287","042bcf51068aa2e6950b979301923a7cda608621",10,3.33333015441895,2,5,0
"288","042bcf51068aa2e6950b979301923a7cda608621",11,100,3,3,0
"289","042bcf51068aa2e6950b979301923a7cda608621",12,4.16666666666666,2,4,0
"290","042bcf51068aa2e6950b979301923a7cda608621",13,20,4,6687,113
"291","042bcf51068aa2e6950b979301923a7cda608621",14,34.6666666666667,5,10,6
"292","042bcf51068aa2e6950b979301923a7cda608621",15,30,2,81,0
"293","043192bedf7742946eb6146a5845b57f7e9c912a",0,0,1,NA,0
"294","043192bedf7742946eb6146a5845b57f7e9c912a",1,2.5,2,5,0
"295","043192bedf7742946eb6146a5845b57f7e9c912a",2,0,1,NA,0
"296","043192bedf7742946eb6146a5845b57f7e9c912a",4,45,4,22,0
"297","043192bedf7742946eb6146a5845b57f7e9c912a",5,100,6,39,0
"298","043192bedf7742946eb6146a5845b57f7e9c912a",7,28.5714285714286,5,11,0
"299","043192bedf7742946eb6146a5845b57f7e9c912a",8,0,1,NA,0
"300","043192bedf7742946eb6146a5845b57f7e9c912a",9,40,5,10,0
"301","043192bedf7742946eb6146a5845b57f7e9c912a",11,20,5,7,0
"302","043192bedf7742946eb6146a5845b57f7e9c912a",14,100,5,165,3
"303","043192bedf7742946eb6146a5845b57f7e9c912a",15,56,6,9,0
"304","043192bedf7742946eb6146a5845b57f7e9c912a",16,0,1,NA,0
"305","044c8efc35597b4a669b210854d00948f3d6fb8b",0,0,1,NA,0
"306","046dbe121ec97b91f0aa87d48f65084ae30b45c8",1,0,1,NA,0
"307","046dbe121ec97b91f0aa87d48f65084ae30b45c8",2,0,1,NA,0
"308","04727ebd4ca7db1f20976546f173c1d7197143aa",0,0,1,NA,0
"309","048dac802b57fbc5baf03ddd87a52ba93237ff36",0,0,1,NA,0
"310","048dac802b57fbc5baf03ddd87a52ba93237ff36",1,12.5,4,14,0
"311","048dac802b57fbc5baf03ddd87a52ba93237ff36",2,60,5,8,0
"312","048dac802b57fbc5baf03ddd87a52ba93237ff36",4,0,1,NA,0
"313","048dac802b57fbc5baf03ddd87a52ba93237ff36",5,11.1111111111111,2,8,0
"314","049d88ce0e5013198d77681a683051ce2d0dc4bd",0,0,1,NA,0
"315","04ac885b525a4fcf6bbcbe39777109c968c70af1",0,0,1,NA,0
"316","04ac885b525a4fcf6bbcbe39777109c968c70af1",3,0,1,NA,0
"317","04ac885b525a4fcf6bbcbe39777109c968c70af1",6,0,1,NA,0
"318","04ac885b525a4fcf6bbcbe39777109c968c70af1",10,0,1,NA,0
"319","04ac885b525a4fcf6bbcbe39777109c968c70af1",12,0,1,NA,0
"320","04ac885b525a4fcf6bbcbe39777109c968c70af1",13,0,1,NA,0
"321","04b730608c28d454059e95f2b5b9ccda9723cead",2,0,1,NA,0
"322","04b730608c28d454059e95f2b5b9ccda9723cead",4,50,4,5,0
"323","05095f67d680e78f351d6c74029616e439ed9ad8",1,0,1,NA,0
"324","05095f67d680e78f351d6c74029616e439ed9ad8",2,0,1,NA,0
"325","05095f67d680e78f351d6c74029616e439ed9ad8",4,0,5,1320,0
"326","05325806321a9d1e38eea7e4e24b0e8b7aa53193",0,0,1,NA,0
"327","05325806321a9d1e38eea7e4e24b0e8b7aa53193",3,0,1,NA,0
"328","05325806321a9d1e38eea7e4e24b0e8b7aa53193",6,0,1,NA,0
"329","05325806321a9d1e38eea7e4e24b0e8b7aa53193",10,0,1,NA,0
"330","05325806321a9d1e38eea7e4e24b0e8b7aa53193",16,0,1,NA,0
"331","057a5211df6134a8692cbbaa335479b07f7cb736",0,0,1,NA,0
"332","057a5211df6134a8692cbbaa335479b07f7cb736",1,0,1,NA,0
"333","057a5211df6134a8692cbbaa335479b07f7cb736",2,0,1,NA,0
"334","057a5211df6134a8692cbbaa335479b07f7cb736",4,100,2,6,0
"335","057a5211df6134a8692cbbaa335479b07f7cb736",5,0,1,NA,0
"336","058766a070a69d9632fa6ea77d50cd6e71e71d69",0,0,1,NA,0
"337","05916bed83543987f2c694da161d4a4c1ae9c6ca",1,0,1,NA,0
